iso_code,date,indicator,value
USA,2020-09-26,Daily ICU occupancy per million,23.417
USA,2020-09-26,Daily hospital occupancy,25903.0
USA,2020-09-26,Daily hospital occupancy per million,77.807
USA,2020-09-26,Weekly new hospital admissions,24658.0
USA,2020-09-26,Weekly new hospital admissions per million,74.067
USA,2020-09-27,Daily ICU occupancy,8067.0
USA,2020-09-27,Daily ICU occupancy per million,24.231
USA,2020-09-27,Daily hospital occupancy,25970.0
USA,2020-09-27,Daily hospital occupancy per million,78.008
USA,2020-09-27,Weekly new hospital admissions,24876.0
USA,2020-09-27,Weekly new hospital admissions per million,74.722
USA,2020-09-28,Daily ICU occupancy,7915.0
USA,2020-09-28,Daily ICU occupancy per million,23.775
USA,2020-09-28,Daily hospital occupancy,27021.0
USA,2020-09-28,Daily hospital occupancy per million,81.165
USA,2020-09-28,Weekly new hospital admissions,25357.0
USA,2020-09-28,Weekly new hospital admissions per million,76.167
USA,2020-09-29,Daily ICU occupancy,8043.0
USA,2020-09-29,Daily ICU occupancy per million,24.159
USA,2020-09-29,Daily hospital occupancy,27506.0
USA,2020-09-29,Daily hospital occupancy per million,82.622
USA,2020-09-29,Weekly new hospital admissions,25713.0
USA,2020-09-29,Weekly new hospital admissions per million,77.236
USA,2020-09-30,Daily ICU occupancy,8070.0
USA,2020-09-30,Daily ICU occupancy per million,24.24
USA,2020-09-30,Daily hospital occupancy,27668.0
USA,2020-09-30,Daily hospital occupancy per million,83.108
USA,2020-09-30,Weekly new hospital admissions,26016.0
USA,2020-09-30,Weekly new hospital admissions per million,78.146
USA,2020-10-01,Daily ICU occupancy,8005.0
USA,2020-10-01,Daily ICU occupancy per million,24.045
USA,2020-10-01,Daily hospital occupancy,27477.0
USA,2020-10-01,Daily hospital occupancy per million,82.535
USA,2020-10-01,Weekly new hospital admissions,26473.0
USA,2020-10-01,Weekly new hospital admissions per million,79.519
USA,2020-10-02,Daily ICU occupancy,7957.0
USA,2020-10-02,Daily ICU occupancy per million,23.901
USA,2020-10-02,Daily hospital occupancy,27408.0
USA,2020-10-02,Daily hospital occupancy per million,82.327
USA,2020-10-02,Weekly new hospital admissions,26723.0
USA,2020-10-02,Weekly new hospital admissions per million,80.27
USA,2020-10-03,Daily ICU occupancy,7964.0
USA,2020-10-03,Daily ICU occupancy per million,23.922
USA,2020-10-03,Daily hospital occupancy,27271.0
USA,2020-10-03,Daily hospital occupancy per million,81.916
USA,2020-10-03,Weekly new hospital admissions,27244.0
USA,2020-10-03,Weekly new hospital admissions per million,81.835
USA,2020-10-04,Daily ICU occupancy,8119.0
USA,2020-10-04,Daily ICU occupancy per million,24.388
USA,2020-10-04,Daily hospital occupancy,27871.0
USA,2020-10-04,Daily hospital occupancy per million,83.718
USA,2020-10-04,Weekly new hospital admissions,27606.0
USA,2020-10-04,Weekly new hospital admissions per million,82.922
USA,2020-10-05,Daily ICU occupancy,8332.0
USA,2020-10-05,Daily ICU occupancy per million,25.027
USA,2020-10-05,Daily hospital occupancy,28956.0
USA,2020-10-05,Daily hospital occupancy per million,86.977
USA,2020-10-05,Weekly new hospital admissions,28493.0
USA,2020-10-05,Weekly new hospital admissions per million,85.586
USA,2020-10-06,Daily ICU occupancy,8571.0
USA,2020-10-06,Daily ICU occupancy per million,25.745
USA,2020-10-06,Daily hospital occupancy,30005.0
USA,2020-10-06,Daily hospital occupancy per million,90.128
USA,2020-10-06,Weekly new hospital admissions,29770.0
USA,2020-10-06,Weekly new hospital admissions per million,89.422
USA,2020-10-07,Daily ICU occupancy,8638.0
USA,2020-10-07,Daily ICU occupancy per million,25.947
USA,2020-10-07,Daily hospital occupancy,30542.0
USA,2020-10-07,Daily hospital occupancy per million,91.741
USA,2020-10-07,Weekly new hospital admissions,30590.0
USA,2020-10-07,Weekly new hospital admissions per million,91.885
USA,2020-10-08,Daily ICU occupancy,8624.0
USA,2020-10-08,Daily ICU occupancy per million,25.905
USA,2020-10-08,Daily hospital occupancy,31014.0
USA,2020-10-08,Daily hospital occupancy per million,93.159
